Empresa;Código;Índices dos quais participa;
CSNMINERACAO;ON   N2;CMIN3;IBBR,IBEP,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,ITAG,MLCX
CSU DIGITAL;ON   NM;CSUD3;IGCX,IGNM,ITAG
CSX CORP;DRN;CSXC34;BDRX
CURY S/A;ON   NM;CURY3;IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
CVC BRASIL;ON   NM;CVCB3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
CYRELA REALT;ON   NM;CYRE3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,IVBX,SMLL
D1000VFARMA;ON   NM;DMVF3;IGCX,IGNM,ITAG
DANAHER CORP;DRN;DHER34;BDRX
DASA;ON   NM;DASA3;GPTW,IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
DEERE CO;DRN;DEEC34;BDRX
DELL TECHNOL;DRN;D1EL34;BDRX
DESKTOP;ON   NM;DESK3;IGCX,IGNM,ITAG
DEXCO;ON   NM;DXCO3;AGFS,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
DEXXOS PAR;ON   N1;DEXP3;IGCX
DEXXOS PAR;PN   N1;DEXP4;IGCX
DIAGEO PL;DRN;DEOP34;BDRX
DIMED;ON   NM;PNVL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
DIRECIONAL;ON   NM;DIRR3;IBRA,IBXX,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
DOLLAR GENER;DRN;DGCO34;BDRX
DOTZ SA;ON   NM;DOTZ3;IGCX,IGNM,ITAG
ECOPETROL SA;DRN;E1CO34;BDRX
ECORODOVIAS;ON   NM;ECOR3;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ELETROBRAS;ON   N1;ELET3;IBBR,IBEP,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
ELETROBRAS;PNB  N1;ELET6;IBBR,IBEP,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,MLCX,UTIL
ELETROMIDIA;ON   NM;ELMD3;IGCX,IGNM,ITAG
EMBRAER;ON   NM;EMBR3;GPTW,IBBR,IBEP,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX
ENERGISA;UNT  N2;ENGI11;IBBR,IBEP,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ITAG,IVBX,MLCX,UTIL
ENEVA;ON   NM;ENEV3;IBBR,IBEP,IBLV,IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
ENGIE BRASIL;ON   NM;EGIE3;IBBR,IBEP,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
ENJOEI;ON   NM;ENJU3;IGCX,IGNM,ITAG
EQUATORIAL;ON   NM;EQTL3;GPTW,IBBR,IBEP,IBLV,IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL
EQUINIX INC;DRN;EQIX34;BDRX
EQUINOR ASA;DRN;E1QN34;BDRX
ESPACOLASER;ON   NM;ESPA3;IGCX,IGNM,ITAG
ESTAPAR;ON   NM;ALPK3;IGCX,IGNM,ITAG
ETERNIT;ON   NM;ETER3;IGCX,IGNM,ITAG
EUCATEX;ON   N1;EUCA3;IGCX
EUCATEX;PN   N1;EUCA4;IGCX
EVEN;ON   NM;EVEN3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
EXXON MOBIL;DRN;EXXO34;BDRX
EZTEC;ON   NM;EZTC3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
FER HERINGER;ON   NM;FHER3;IGCX,IGNM,ITAG
FERBASA;ON   N1;FESA3;IGCX
FERBASA;PN   N1;FESA4;IBRA,IDIV,IDVR,IGCT,IGCX,IMAT,SMLL
FII ABSOLUTO;CI;BPFF11;IFIX
FII AFHI CRI;CI;AFHI11;IFIL,IFIX
FII AJ MALLS;CI;AJFI11;IFIX
FII ALIANZA;CI;ALZR11;IFIL,IFIX
FII ARCTIUM;CI;RZAT11;IFIX
FII ATHENA I;CI;FATN11;IFIX
FII ATRIO;CI;ARRI11;IFIX
FII AUTONOMY;CI;AIEC11;IFIX
FII BARIGUI;CI;BARI11;IFIX
FII BC FUND;CI;BRCR11;IFIL,IFIX
FII BCIA;CI;BCIA11;IFIX
FII BEES CRI;CI;BCRI11;IFIX
FII BLUE LOG;CI;BLMG11;IFIX
FII BRESCO;CI;BRCO11;IFIL,IFIX
FII BROF;CI;BROF11;IFIX
FII BTG AGRO;CI;BTAL11;IFIX
FII BTG CRI;CI;BTCI11;IFIL,IFIX
FII BTG SHOP;CI;BPML11;IFIX
FII BTG TAGR;CI;BTRA11;IFIX
FII BTLG;CI;BTLG11;IFIL,IFIX
FII CAPI SEC;CI;CPTS11;IFIL,IFIX
FII CLAVE IN;CI;CLIN11;IFIL,IFIX
FII CPSH;CI;CPSH11;IFIX
FII CYRELA;CI;CYCR11;IFIX
FII DEVANT;CI;DEVA11;IFIL,IFIX
FII FATOR VE;CI;VRTA11;IFIL,IFIX
FII G TOWERS;CI;GTWR11;IFIL,IFIX
FII GAZIT;CI;GZIT11;IFIX
FII GGRCOVEP;CI;GGRC11;IFIL,IFIX
FII GUARDIAN;CI;GARE11;IFIL,IFIX
FII HABIT II;CI;HABT11;IFIL,IFIX
FII HECTARE;CI;HCTR11;IFIL,IFIX
FII HEDGEBS;CI;HGBS11;IFIL,IFIX
FII HGCR PAX;CI;HGCR11;IFIL,IFIX
FII HGFF PAX;CI;HGFF11;IFIX
FII HGLG PAX;CI;HGLG11;IFIL,IFIX
FII HGPO PAX;CI;HGPO11;IFIX
FII HGRE PAX;CI;HGRE11;IFIL,IFIX
FII HGRU PAX;CI;HGRU11;IFIL,IFIX
FII HOTEL MX;CI;HTMX11;IFIL,IFIX
FII HSI CRI;CI;HSAF11;IFIX
FII HSI LOG;CI;HSLG11;IFIX
FII HSI MALL;CI;HSML11;IFIL,IFIX
FII HTOPFOF3;CI;HFOF11;IFIL,IFIX
FII INTER LG;CI;INLG11;IFIX
FII IRIDIUM;CI;IRDM11;IFIL,IFIX
FII JS A FIN;CI;JSAF11;IFIL,IFIX
FII JS REAL;CI;JSRE11;IFIL,IFIX
FII KILIMA;CI;KISU11;IFIL,IFIX
FII KINEA;CI;KNRI11;IFIL,IFIX
FII KINEA CR;CI;KCRE11;IFIX
FII KINEA HF;CI;KNHF11;IFIL,IFIX
FII KINEA HY;CI;KNHY11;IFIL,IFIX
FII KINEA IP;CI;KNIP11;IFIL,IFIX
FII KINEA RI;CI;KNCR11;IFIL,IFIX
FII KINEA SC;CI;KNSC11;IFIL,IFIX
FII KINEA UN;CI;KNUQ11;IFIX
FII KINEAFOF;CI;KFOF11;IFIL,IFIX
FII KIVO;CI;KIVO11;IFIX
FII KORE;CI;KORE11;IFIL,IFIX
FII MALLS BP;CI;MALL11;IFIL,IFIX
FII MANATI;CI;MANA11;IFIX
FII MAUA;CI;MCCI11;IFIL,IFIX
FII MAUA RE;CI;MCRE11;IFIL,IFIX
FII MAXI REN;CI;MXRF11;IFIL,IFIX
FII MERITO I;CI;MFII11;IFIX
FII OURI JPP;CI;OUJP11;IFIX
FII PATLOGIS;CI;PATL11;IFIX
FII POLO CRI;CI;PORD11;IFIX
FII RBR LOG;CI;RBRL11;IFIX
FII RBR MULT;CI;RBRX11;IFIL,IFIX
FII RBR PCRI;CI;RBRY11;IFIL,IFIX
FII RBR PROP;CI;RBRP11;IFIL,IFIX
FII RBRALPHA;CI;RBRF11;IFIL,IFIX
FII RBRHGRAD;CI;RBRR11;IFIL,IFIX
FII REC RECE;CI;RECR11;IFIL,IFIX
FII REC REND;CI;RECT11;IFIX
FII RIOB FF;CI;RBFF11;IFIX
FII RIOB RC;CI;RCRB11;IFIX
FII RIOB VA;CI;RBVA11;IFIL,IFIX
FII RIZA AKN;CI;RZAK11;IFIL,IFIX
FII RIZA TX;CI;RZTR11;IFIL,IFIX
FII SANT REN;CI;SARE11;IFIL,IFIX
FII SDI LOG;CI;TRBL11;IFIX
FII SPX SYN;CI;SPXS11;IFIL,IFIX
FII SUNO CRI;CI;SNCI11;IFIX
FII SUNO EL;CI;SNEL11;IFIX
FII SUNOFOFI;CI;SNFF11;IFIX
FII TEL PROP;CI;TEPP11;IFIX
FII TG ATIVO;CI;TGAR11;IFIL,IFIX
FII TIVIO RI;CI;TVRI11;IFIL,IFIX
FII TRX REAL;CI;TRXF11;IFIL,IFIX
FII URCA REN;CI;URPR11;IFIL,IFIX
FII VALOR HE;CI;VGHF11;IFIL,IFIX
FII VALORAIP;CI;VGIP11;IFIL,IFIX
FII VALREIII;CI;VGIR11;IFIL,IFIX
FII VBI CRI;CI;CVBI11;IFIL,IFIX
FII VBI LOG;CI;LVBI11;IFIL,IFIX
FII VBI PRI;CI;PVBI11;IFIL,IFIX
FII VBI REIT;CI;RVBI11;IFIX
FII VECTIS;CI;VCJR11;IFIL,IFIX
FII VERS CRI;CI;VSLH11;IFIX
FII VINCI IU;CI;VIUR11;IFIX
FII VINCI LG;CI;VILG11;IFIL,IFIX
FII VINCI OF;CI;VINO11;IFIL,IFIX
FII VINCI SC;CI;VISC11;IFIL,IFIX
FII WHG REAL;CI;WHGR11;IFIX
FII XP CRED;CI;XPCI11;IFIL,IFIX
FII XP INDL;CI;XPIN11;IFIX
FII XP LOG;CI;XPLG11;IFIL,IFIX
FII XP MALLS;CI;XPML11;IFIL,IFIX
FII XP SELEC;CI;XPSF11;IFIX
FII ZAVIT R;CI;ZAVI11;IFIX
FIRST SOLAR;DRN;FSLR34;BDRX
FLEURY;ON   NM;FLRY3;IBBR,IBEP,IBLV,IBOV,IBRA,IBXX,ICO2,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
FORD MOTORS;DRN;FDMO34;BDRX
FRANCONEVADA;DRN;F2NV34;BDRX
FRAS-LE;ON   N1;FRAS3;IBRA,IGCT,IGCX,SMLL
GAFISA;ON   NM;GFSA3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,SMLL
GEAEROSPACE;DRN;GEOO34;BDRX
GENERAL MOT;DRN;GMCO34;BDRX
GER PARANAP;PN;GEPA4;ITAG
GERDAU;ON   N1;GGBR3;IGCX,ITAG
GERDAU;PN   N1;GGBR4;GPTW,IBBR,IBEP,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX
GERDAU MET;ON   N1;GOAU3;IGCX,ITAG
